comuna,tipo_cliente,consumo_mensual,coord_x,coord_y
Las Condes,COMERCIAL,479.09,-70.600473,-33.551905
Las Condes,RESIDENCIAL,93.88,-70.534712,-33.451382
Las Condes,INDUSTRIAL,883.76,-70.633877,-33.522953
Las Condes,INDUSTRIAL,1622.5,-70.735725,-33.481101
Las Condes,INDUSTRIAL,939.94,-70.528608,-33.532883
Las Condes,COMERCIAL,206.39,-70.672351,-33.562046
Las Condes,RESIDENCIAL,21.14,-70.518091,-33.468159
Las Condes,INDUSTRIAL,845.22,-70.644934,-33.504678
Las Condes,INDUSTRIAL,1464.94,-70.59847,-33.42614
Las Condes,RESIDENCIAL,45.22,-70.581321,-33.474763
Las Condes,COMERCIAL,285.04,-70.521909,-33.439017
Las Condes,COMERCIAL,239.04,-70.695897,-33.480998
Las Condes,COMERCIAL,302.23,-70.651389,-33.436958
Las Condes,INDUSTRIAL,1177.91,-70.658258,-33.585228
Las Condes,INDUSTRIAL,969.61,-70.686133,-33.426436
Las Condes,INDUSTRIAL,1178.67,-70.594923,-33.446673
Las Condes,INDUSTRIAL,961.52,-70.703779,-33.596416
Las Condes,RESIDENCIAL,259.79,-70.632755,-33.594345
Las Condes,INDUSTRIAL,583.99,-70.546224,-33.549188
Las Condes,RESIDENCIAL,219.96,-70.532953,-33.574485
Las Condes,COMERCIAL,381.83,-70.543757,-33.489157
Las Condes,INDUSTRIAL,920.02,-70.588144,-33.467517
Las Condes,INDUSTRIAL,1017.62,-70.523474,-33.433681
Las Condes,COMERCIAL,207.94,-70.568734,-33.400777
Las Condes,INDUSTRIAL,1112.31,-70.521468,-33.443054
Las Condes,INDUSTRIAL,978.92,-70.6061,-33.572879
Las Condes,COMERCIAL,239.88,-70.619914,-33.42439
Las Condes,RESIDENCIAL,212.63,-70.560791,-33.525906
Las Condes,RESIDENCIAL,118.51,-70.534217,-33.518024
Las Condes,COMERCIAL,305.78,-70.557608,-33.422621
Las Condes,INDUSTRIAL,1101.18,-70.537998,-33.484598
Las Condes,COMERCIAL,274.53,-70.691165,-33.512232
Las Condes,COMERCIAL,369.25,-70.505929,-33.554169
Las Condes,COMERCIAL,275.62,-70.577898,-33.480518
Las Condes,COMERCIAL,210.52,-70.5951,-33.58857
Las Condes,COMERCIAL,272.09,-70.691357,-33.45481
Las Condes,COMERCIAL,159.6,-70.735055,-33.535347
Las Condes,RESIDENCIAL,124.27,-70.72075,-33.447522
Las Condes,INDUSTRIAL,809.81,-70.656426,-33.548393
Las Condes,COMERCIAL,197.47,-70.638985,-33.563057
Las Condes,RESIDENCIAL,106.32,-70.681718,-33.445398
Las Condes,RESIDENCIAL,134.79,-70.712731,-33.535914
Las Condes,INDUSTRIAL,1151.53,-70.580677,-33.42428
Las Condes,INDUSTRIAL,1081.35,-70.649233,-33.561073
Las Condes,COMERCIAL,240.05,-70.534289,-33.556675
Las Condes,RESIDENCIAL,148.39,-70.545942,-33.516663
Las Condes,COMERCIAL,247.88,-70.717836,-33.497868
Las Condes,RESIDENCIAL,202.65,-70.598818,-33.471331
Las Condes,INDUSTRIAL,1004.75,-70.55671,-33.541219
Las Condes,INDUSTRIAL,958.44,-70.641717,-33.556897
Las Condes,COMERCIAL,208.89,-70.5134,-33.443113
Las Condes,RESIDENCIAL,61.66,-70.551102,-33.466639
Las Condes,COMERCIAL,243.13,-70.587758,-33.477151
Las Condes,RESIDENCIAL,192.42,-70.590967,-33.543273
Las Condes,INDUSTRIAL,865.71,-70.727225,-33.574664
Las Condes,INDUSTRIAL,1131.19,-70.724688,-33.453383
Las Condes,INDUSTRIAL,1583.38,-70.576234,-33.570936
Las Condes,INDUSTRIAL,784.73,-70.560067,-33.477788
Las Condes,COMERCIAL,444.32,-70.691647,-33.413165
Las Condes,RESIDENCIAL,134.42,-70.654536,-33.548346
Las Condes,RESIDENCIAL,174.64,-70.744262,-33.537003
Las Condes,COMERCIAL,289.43,-70.528349,-33.424403
Las Condes,INDUSTRIAL,1209.46,-70.583501,-33.437525
Las Condes,COMERCIAL,271.35,-70.729264,-33.571602
Las Condes,COMERCIAL,385.14,-70.513498,-33.433005
Las Condes,COMERCIAL,439.19,-70.726663,-33.442602
Las Condes,INDUSTRIAL,1417.33,-70.749569,-33.45586
Las Condes,COMERCIAL,142.52,-70.683431,-33.452802
Las Condes,INDUSTRIAL,1266.78,-70.560202,-33.534962
Las Condes,RESIDENCIAL,102.14,-70.57143,-33.429603
Las Condes,COMERCIAL,354.53,-70.504417,-33.534578
Las Condes,COMERCIAL,168.26,-70.503889,-33.473461
Las Condes,INDUSTRIAL,1204.75,-70.612103,-33.571666
Las Condes,COMERCIAL,164.07,-70.676098,-33.544727
Las Condes,INDUSTRIAL,1690.02,-70.505876,-33.525363
Las Condes,RESIDENCIAL,85.63,-70.743042,-33.464937
Las Condes,RESIDENCIAL,171.47,-70.713442,-33.543049
Las Condes,COMERCIAL,337.15,-70.509052,-33.56222
Las Condes,INDUSTRIAL,1616.92,-70.529445,-33.422735
Las Condes,RESIDENCIAL,140.24,-70.651429,-33.577928
Las Condes,RESIDENCIAL,197.56,-70.552678,-33.483151
Las Condes,INDUSTRIAL,1131.91,-70.65404,-33.598706
Las Condes,INDUSTRIAL,760.75,-70.686513,-33.480529
Las Condes,COMERCIAL,410.06,-70.570889,-33.56599
Las Condes,COMERCIAL,179.64,-70.567493,-33.521402
Las Condes,INDUSTRIAL,1603.72,-70.556198,-33.551147
Las Condes,COMERCIAL,232.55,-70.710286,-33.46943
Las Condes,INDUSTRIAL,1218.86,-70.741492,-33.524743
Las Condes,COMERCIAL,316.36,-70.600581,-33.495634
Las Condes,INDUSTRIAL,1668.12,-70.585874,-33.405158
Las Condes,RESIDENCIAL,100.35,-70.570895,-33.457612
Las Condes,INDUSTRIAL,891.24,-70.535978,-33.518929
Las Condes,COMERCIAL,365.23,-70.576543,-33.486496
Las Condes,COMERCIAL,260.82,-70.73924,-33.474891
Las Condes,COMERCIAL,130.79,-70.72518,-33.407638
Las Condes,INDUSTRIAL,702.61,-70.529045,-33.462776
Las Condes,INDUSTRIAL,744.73,-70.631387,-33.421877
Las Condes,RESIDENCIAL,77.61,-70.582725,-33.524809
Las Condes,RESIDENCIAL,102.82,-70.74247,-33.567272
Las Condes,COMERCIAL,428.84,-70.711086,-33.50538
Las Condes,INDUSTRIAL,1290.11,-70.601493,-33.565276
Las Condes,RESIDENCIAL,121.41,-70.657773,-33.486416
Las Condes,COMERCIAL,462.83,-70.581447,-33.532027
Las Condes,COMERCIAL,459.66,-70.641839,-33.404217
Las Condes,RESIDENCIAL,206.44,-70.734213,-33.450712
Las Condes,INDUSTRIAL,1302.9,-70.599996,-33.532052
Las Condes,INDUSTRIAL,1016.63,-70.603803,-33.486341
Las Condes,COMERCIAL,232.49,-70.619781,-33.457037
Las Condes,RESIDENCIAL,184.21,-70.643326,-33.582085
Las Condes,INDUSTRIAL,906.39,-70.632503,-33.496476
Las Condes,COMERCIAL,329.53,-70.537544,-33.418046
Las Condes,INDUSTRIAL,881.22,-70.577179,-33.575442
Las Condes,INDUSTRIAL,789.24,-70.579035,-33.430018
Las Condes,RESIDENCIAL,147.76,-70.68771,-33.568203
Las Condes,INDUSTRIAL,736.2,-70.635359,-33.449648
Las Condes,RESIDENCIAL,199.83,-70.679597,-33.41067
Las Condes,RESIDENCIAL,59.1,-70.655558,-33.536093
Las Condes,COMERCIAL,260.91,-70.66514,-33.47934
Las Condes,RESIDENCIAL,141.14,-70.534564,-33.406882
Las Condes,COMERCIAL,326.31,-70.666122,-33.580418
Las Condes,COMERCIAL,195.02,-70.709255,-33.48456
Las Condes,INDUSTRIAL,895.02,-70.564941,-33.466936
Las Condes,RESIDENCIAL,175.92,-70.697207,-33.557204
Las Condes,COMERCIAL,247.57,-70.593804,-33.513712
Las Condes,RESIDENCIAL,120.61,-70.659729,-33.47623
Las Condes,RESIDENCIAL,81.24,-70.691179,-33.562287
Las Condes,INDUSTRIAL,1289.3,-70.54895,-33.448837
Las Condes,INDUSTRIAL,671.73,-70.724938,-33.444594
Las Condes,RESIDENCIAL,122.51,-70.652552,-33.409552
Las Condes,INDUSTRIAL,870.3,-70.668902,-33.510216
Las Condes,COMERCIAL,366.77,-70.512484,-33.545127
Las Condes,COMERCIAL,489.58,-70.531045,-33.592377
Las Condes,COMERCIAL,181.38,-70.615176,-33.526403
Las Condes,RESIDENCIAL,145.09,-70.700508,-33.507269
Las Condes,COMERCIAL,234.55,-70.635731,-33.405836
Las Condes,INDUSTRIAL,1171.56,-70.569911,-33.500077
Las Condes,COMERCIAL,290.6,-70.687795,-33.527287
Las Condes,INDUSTRIAL,627.88,-70.669488,-33.433709
Las Condes,INDUSTRIAL,1157.53,-70.614617,-33.473775
Las Condes,COMERCIAL,117.3,-70.667541,-33.588798
Las Condes,INDUSTRIAL,1168.53,-70.57288,-33.412836
Las Condes,INDUSTRIAL,779.95,-70.522613,-33.457293
Las Condes,RESIDENCIAL,140.72,-70.663252,-33.499678
Las Condes,RESIDENCIAL,260.93,-70.574881,-33.567991
Las Condes,RESIDENCIAL,163.0,-70.649671,-33.522736
Las Condes,RESIDENCIAL,147.71,-70.544687,-33.560394
Las Condes,RESIDENCIAL,66.8,-70.655253,-33.509867
Las Condes,COMERCIAL,262.42,-70.564138,-33.483703
Las Condes,INDUSTRIAL,1414.87,-70.558484,-33.40893
Las Condes,COMERCIAL,290.32,-70.65633,-33.587027
Las Condes,RESIDENCIAL,79.41,-70.50781,-33.406065
Las Condes,RESIDENCIAL,93.92,-70.58896,-33.401808
Las Condes,COMERCIAL,310.72,-70.50107,-33.482829
Las Condes,COMERCIAL,235.54,-70.521845,-33.547351
Las Condes,RESIDENCIAL,140.13,-70.735843,-33.462318
Las Condes,RESIDENCIAL,129.86,-70.575634,-33.549352
Las Condes,COMERCIAL,135.93,-70.682035,-33.537652
Las Condes,RESIDENCIAL,151.29,-70.715585,-33.581103
Las Condes,INDUSTRIAL,923.34,-70.726502,-33.585183
Las Condes,INDUSTRIAL,1357.61,-70.62396,-33.595395
Las Condes,COMERCIAL,279.46,-70.685737,-33.421847
Las Condes,INDUSTRIAL,1363.72,-70.655313,-33.402879
Las Condes,RESIDENCIAL,139.94,-70.599029,-33.520758
Las Condes,RESIDENCIAL,91.92,-70.536199,-33.582624
Las Condes,INDUSTRIAL,1099.98,-70.680048,-33.457673
Las Condes,RESIDENCIAL,131.65,-70.733248,-33.572677
Las Condes,INDUSTRIAL,719.77,-70.549165,-33.594752
Las Condes,RESIDENCIAL,179.94,-70.682449,-33.492103
Las Condes,INDUSTRIAL,587.96,-70.526121,-33.580081
Las Condes,COMERCIAL,256.07,-70.58896,-33.528983
Las Condes,RESIDENCIAL,171.87,-70.687159,-33.488401
Las Condes,RESIDENCIAL,161.5,-70.71573,-33.546354
Las Condes,COMERCIAL,358.02,-70.595734,-33.570351
Las Condes,RESIDENCIAL,0.0,-70.729321,-33.580589
Las Condes,INDUSTRIAL,971.28,-70.699855,-33.486015
Las Condes,COMERCIAL,377.67,-70.736112,-33.49882
Las Condes,RESIDENCIAL,86.91,-70.549214,-33.584584
Las Condes,COMERCIAL,416.81,-70.527786,-33.589116
Las Condes,RESIDENCIAL,196.21,-70.732678,-33.53733
Las Condes,RESIDENCIAL,108.81,-70.611754,-33.566814
Las Condes,RESIDENCIAL,99.77,-70.549883,-33.426759
Las Condes,COMERCIAL,367.36,-70.668836,-33.588224
Las Condes,RESIDENCIAL,200.6,-70.601362,-33.424196
Las Condes,COMERCIAL,365.43,-70.564173,-33.55884
Las Condes,INDUSTRIAL,1749.6,-70.611361,-33.411415
Las Condes,RESIDENCIAL,150.37,-70.539684,-33.585072
Las Condes,INDUSTRIAL,964.41,-70.509347,-33.443187
Las Condes,INDUSTRIAL,517.28,-70.710109,-33.420745
Las Condes,RESIDENCIAL,109.8,-70.718574,-33.40716
Las Condes,INDUSTRIAL,1282.99,-70.706645,-33.459743
Las Condes,INDUSTRIAL,1254.39,-70.57987,-33.49961
Las Condes,RESIDENCIAL,37.08,-70.699813,-33.570564
Las Condes,COMERCIAL,343.96,-70.578747,-33.537549
Las Condes,INDUSTRIAL,1191.95,-70.599845,-33.557407
Las Condes,RESIDENCIAL,110.89,-70.645999,-33.430096
Las Condes,INDUSTRIAL,879.41,-70.733192,-33.527757
Las Condes,COMERCIAL,285.64,-70.666067,-33.599539
Las Condes,RESIDENCIAL,228.12,-70.585524,-33.555373
Las Condes,INDUSTRIAL,1157.47,-70.6191,-33.446874
Las Condes,RESIDENCIAL,196.35,-70.650393,-33.510923
Las Condes,RESIDENCIAL,235.58,-70.528313,-33.51611
Las Condes,COMERCIAL,208.12,-70.747364,-33.580089
Las Condes,COMERCIAL,237.14,-70.509615,-33.552687
Las Condes,RESIDENCIAL,207.11,-70.560783,-33.510717
Las Condes,COMERCIAL,344.68,-70.714423,-33.460639
Las Condes,INDUSTRIAL,773.5,-70.587989,-33.557786
Las Condes,INDUSTRIAL,1116.2,-70.706927,-33.511841
Las Condes,INDUSTRIAL,1159.01,-70.729046,-33.482956
Las Condes,RESIDENCIAL,74.91,-70.744323,-33.511334
Las Condes,RESIDENCIAL,110.24,-70.74761,-33.5285
Las Condes,INDUSTRIAL,884.93,-70.672391,-33.485087
Las Condes,RESIDENCIAL,90.72,-70.573991,-33.471054
Las Condes,INDUSTRIAL,885.54,-70.682026,-33.581515
Las Condes,INDUSTRIAL,1273.29,-70.656226,-33.550556
Las Condes,INDUSTRIAL,630.16,-70.602715,-33.57392
Las Condes,INDUSTRIAL,1128.63,-70.610239,-33.544714
Las Condes,RESIDENCIAL,105.93,-70.73073,-33.532628
Las Condes,INDUSTRIAL,1439.46,-70.701818,-33.417381
Las Condes,COMERCIAL,244.98,-70.597998,-33.532749
Las Condes,COMERCIAL,282.13,-70.704022,-33.412972
Las Condes,RESIDENCIAL,175.14,-70.5579,-33.575063
Las Condes,COMERCIAL,207.09,-70.686614,-33.470323
Las Condes,COMERCIAL,323.3,-70.591945,-33.561294
Las Condes,INDUSTRIAL,799.61,-70.572604,-33.467592
Las Condes,COMERCIAL,281.22,-70.576497,-33.487881
Las Condes,RESIDENCIAL,117.68,-70.626647,-33.48006
Las Condes,RESIDENCIAL,87.49,-70.556107,-33.440153
Las Condes,COMERCIAL,458.77,-70.685157,-33.462472
Las Condes,INDUSTRIAL,675.38,-70.689956,-33.422024
Las Condes,INDUSTRIAL,845.81,-70.54498,-33.464288
Las Condes,COMERCIAL,310.1,-70.505502,-33.587831
Las Condes,COMERCIAL,332.62,-70.629801,-33.416477
Las Condes,COMERCIAL,223.4,-70.600702,-33.527238
Las Condes,COMERCIAL,243.26,-70.67199,-33.536029
Las Condes,COMERCIAL,360.65,-70.585286,-33.548585
Las Condes,RESIDENCIAL,204.81,-70.652295,-33.463229
Las Condes,INDUSTRIAL,696.26,-70.729538,-33.416162
Las Condes,RESIDENCIAL,112.72,-70.68243,-33.531162
Las Condes,COMERCIAL,528.04,-70.590621,-33.405886
Las Condes,COMERCIAL,363.96,-70.615556,-33.590913
Las Condes,COMERCIAL,242.71,-70.534158,-33.55004
Las Condes,COMERCIAL,265.28,-70.607845,-33.445688
Las Condes,COMERCIAL,219.21,-70.501785,-33.537798
Las Condes,RESIDENCIAL,189.22,-70.536701,-33.428448
Las Condes,COMERCIAL,276.45,-70.624283,-33.581343
Las Condes,COMERCIAL,429.29,-70.651392,-33.413575
Las Condes,RESIDENCIAL,105.75,-70.682725,-33.411288
Las Condes,RESIDENCIAL,182.04,-70.705826,-33.581882
Las Condes,COMERCIAL,323.29,-70.540528,-33.570041
Las Condes,INDUSTRIAL,683.31,-70.677891,-33.477401
Las Condes,INDUSTRIAL,985.0,-70.687758,-33.551753
Las Condes,INDUSTRIAL,906.22,-70.728502,-33.577614
Las Condes,RESIDENCIAL,69.02,-70.695684,-33.566534
Las Condes,INDUSTRIAL,694.34,-70.548605,-33.415248
Las Condes,INDUSTRIAL,309.24,-70.698631,-33.435071
Las Condes,RESIDENCIAL,153.71,-70.69874,-33.457247
Las Condes,RESIDENCIAL,176.12,-70.541816,-33.514939
Las Condes,COMERCIAL,295.46,-70.542728,-33.429059
Las Condes,RESIDENCIAL,185.37,-70.600111,-33.444609
Las Condes,RESIDENCIAL,134.5,-70.740329,-33.409909
Las Condes,INDUSTRIAL,725.06,-70.588019,-33.472633
Las Condes,COMERCIAL,198.6,-70.538243,-33.445777
Las Condes,INDUSTRIAL,875.42,-70.638669,-33.553087
Las Condes,RESIDENCIAL,163.2,-70.579302,-33.436691
Las Condes,COMERCIAL,267.62,-70.508366,-33.573056
Las Condes,COMERCIAL,223.83,-70.580923,-33.491344
Las Condes,RESIDENCIAL,159.03,-70.678509,-33.519881
Las Condes,COMERCIAL,276.75,-70.592516,-33.569268
Las Condes,COMERCIAL,382.08,-70.505003,-33.527178
Las Condes,RESIDENCIAL,127.52,-70.694568,-33.598711
Las Condes,RESIDENCIAL,146.46,-70.647678,-33.56493
Las Condes,RESIDENCIAL,121.69,-70.70891,-33.41046
Las Condes,RESIDENCIAL,173.35,-70.575532,-33.587042
Las Condes,RESIDENCIAL,40.98,-70.501235,-33.458278
Las Condes,COMERCIAL,336.17,-70.538507,-33.417887
Las Condes,RESIDENCIAL,90.95,-70.643994,-33.586525
Las Condes,INDUSTRIAL,971.35,-70.692802,-33.45381
Las Condes,RESIDENCIAL,105.61,-70.627718,-33.570889
Las Condes,INDUSTRIAL,1399.44,-70.584201,-33.591682
Las Condes,COMERCIAL,305.22,-70.544266,-33.418128
Las Condes,RESIDENCIAL,179.01,-70.614557,-33.411134
Las Condes,RESIDENCIAL,131.05,-70.575486,-33.564322
Las Condes,COMERCIAL,359.0,-70.606989,-33.455862
Las Condes,INDUSTRIAL,950.27,-70.555099,-33.461214
Las Condes,COMERCIAL,290.86,-70.739033,-33.532174
Las Condes,COMERCIAL,411.26,-70.634136,-33.5339
Las Condes,INDUSTRIAL,871.02,-70.64928,-33.408227
Las Condes,INDUSTRIAL,794.54,-70.543265,-33.560838
Las Condes,RESIDENCIAL,235.35,-70.544539,-33.456891
Las Condes,RESIDENCIAL,162.33,-70.51268,-33.419714
Las Condes,RESIDENCIAL,116.27,-70.559489,-33.474811
Las Condes,INDUSTRIAL,1375.85,-70.503863,-33.453619
Las Condes,RESIDENCIAL,126.11,-70.689209,-33.508562
Las Condes,INDUSTRIAL,1189.92,-70.603349,-33.489306
Las Condes,COMERCIAL,276.4,-70.505641,-33.438335
Las Condes,RESIDENCIAL,189.94,-70.665953,-33.543736
Las Condes,RESIDENCIAL,197.06,-70.723667,-33.555725
Las Condes,RESIDENCIAL,171.78,-70.601036,-33.406711
Las Condes,INDUSTRIAL,467.1,-70.559852,-33.554403
Las Condes,COMERCIAL,260.55,-70.567429,-33.585263
Las Condes,COMERCIAL,147.42,-70.602184,-33.569739
Las Condes,INDUSTRIAL,574.99,-70.742204,-33.540013
Las Condes,COMERCIAL,307.68,-70.719327,-33.447955
Las Condes,RESIDENCIAL,136.87,-70.579966,-33.412967
Las Condes,COMERCIAL,392.98,-70.606518,-33.483692
Las Condes,COMERCIAL,220.39,-70.647784,-33.499164
Las Condes,INDUSTRIAL,874.52,-70.648099,-33.464582
Las Condes,RESIDENCIAL,200.65,-70.550309,-33.454536
Las Condes,RESIDENCIAL,91.91,-70.675685,-33.475724
Las Condes,COMERCIAL,279.6,-70.550135,-33.508017
Las Condes,INDUSTRIAL,959.57,-70.732693,-33.520216
Las Condes,COMERCIAL,352.15,-70.562395,-33.528903
Las Condes,RESIDENCIAL,187.78,-70.61328,-33.471595
Las Condes,RESIDENCIAL,141.44,-70.633311,-33.527277
Las Condes,COMERCIAL,364.02,-70.609335,-33.556025
Las Condes,RESIDENCIAL,126.84,-70.60786,-33.517602
Las Condes,COMERCIAL,261.33,-70.606631,-33.471914
Las Condes,COMERCIAL,162.22,-70.616331,-33.433846
Las Condes,COMERCIAL,217.91,-70.621447,-33.415979
Las Condes,COMERCIAL,265.99,-70.613111,-33.5747
Las Condes,COMERCIAL,307.75,-70.616795,-33.521722
Las Condes,COMERCIAL,322.66,-70.716035,-33.534622
Las Condes,RESIDENCIAL,166.04,-70.580332,-33.502384
Las Condes,RESIDENCIAL,114.08,-70.509474,-33.422521
Las Condes,COMERCIAL,307.1,-70.704535,-33.413935
Las Condes,COMERCIAL,162.54,-70.624618,-33.587501
Las Condes,COMERCIAL,181.88,-70.524548,-33.594219
Las Condes,RESIDENCIAL,179.72,-70.610014,-33.552722
Las Condes,RESIDENCIAL,93.72,-70.691175,-33.478518
Las Condes,COMERCIAL,357.93,-70.580621,-33.547971
Las Condes,COMERCIAL,181.81,-70.517458,-33.487418
Las Condes,COMERCIAL,452.63,-70.588129,-33.421035
Las Condes,COMERCIAL,379.13,-70.623424,-33.477553
Las Condes,COMERCIAL,461.61,-70.64676,-33.533873
Las Condes,COMERCIAL,23.77,-70.569122,-33.491761
Las Condes,INDUSTRIAL,767.49,-70.72359,-33.512415
Las Condes,INDUSTRIAL,948.8,-70.516094,-33.437121
Las Condes,COMERCIAL,437.32,-70.578413,-33.572443
Las Condes,RESIDENCIAL,153.87,-70.500646,-33.545529
Las Condes,RESIDENCIAL,103.22,-70.679198,-33.466086
Las Condes,COMERCIAL,340.69,-70.529516,-33.546135
Las Condes,COMERCIAL,354.29,-70.608653,-33.552068
Las Condes,INDUSTRIAL,2004.95,-70.666996,-33.588992
Las Condes,RESIDENCIAL,176.59,-70.62579,-33.420228
Las Condes,RESIDENCIAL,156.51,-70.535701,-33.581228
Las Condes,COMERCIAL,155.5,-70.591051,-33.596547
Las Condes,RESIDENCIAL,175.61,-70.746901,-33.42621
Las Condes,COMERCIAL,137.97,-70.676558,-33.474536
Las Condes,INDUSTRIAL,955.65,-70.694336,-33.501697
Las Condes,COMERCIAL,321.67,-70.608373,-33.458062
Las Condes,COMERCIAL,311.87,-70.586234,-33.469266
Las Condes,COMERCIAL,218.94,-70.563848,-33.44545
Las Condes,RESIDENCIAL,132.46,-70.682298,-33.596604
Las Condes,COMERCIAL,314.46,-70.583299,-33.401485
Las Condes,COMERCIAL,177.86,-70.59968,-33.568627
Las Condes,COMERCIAL,238.63,-70.743009,-33.557008
Las Condes,COMERCIAL,431.7,-70.674367,-33.419187
Las Condes,RESIDENCIAL,105.51,-70.719365,-33.490073
Las Condes,RESIDENCIAL,60.13,-70.738811,-33.497014
Las Condes,COMERCIAL,323.68,-70.734692,-33.464814
Las Condes,RESIDENCIAL,175.76,-70.718782,-33.526315
Las Condes,COMERCIAL,358.18,-70.635309,-33.532855
Las Condes,COMERCIAL,336.37,-70.684414,-33.538724
Las Condes,RESIDENCIAL,221.85,-70.657281,-33.55109
Las Condes,RESIDENCIAL,158.2,-70.695199,-33.41276
Las Condes,INDUSTRIAL,1111.63,-70.581509,-33.591256
Las Condes,RESIDENCIAL,145.98,-70.558698,-33.416133
Las Condes,INDUSTRIAL,565.95,-70.556832,-33.414062
Las Condes,COMERCIAL,330.1,-70.661268,-33.597179
Las Condes,RESIDENCIAL,112.17,-70.515339,-33.41955
Las Condes,COMERCIAL,341.65,-70.745936,-33.482459
Las Condes,RESIDENCIAL,181.57,-70.70393,-33.578897
Las Condes,INDUSTRIAL,1130.9,-70.73939,-33.533642
Las Condes,INDUSTRIAL,832.3,-70.632692,-33.461699
Las Condes,RESIDENCIAL,128.94,-70.530061,-33.418189
Las Condes,RESIDENCIAL,117.67,-70.582737,-33.448301
Las Condes,INDUSTRIAL,1032.04,-70.684013,-33.513338
Las Condes,COMERCIAL,291.0,-70.610632,-33.56452
Las Condes,INDUSTRIAL,721.17,-70.676026,-33.439311
Las Condes,RESIDENCIAL,172.43,-70.50479,-33.56368
Las Condes,INDUSTRIAL,1629.87,-70.666634,-33.513917
Las Condes,INDUSTRIAL,543.49,-70.577714,-33.449288
Las Condes,COMERCIAL,36.26,-70.671471,-33.501299
Las Condes,INDUSTRIAL,1281.61,-70.577385,-33.529084
Las Condes,INDUSTRIAL,1068.1,-70.722172,-33.551126
Las Condes,RESIDENCIAL,156.49,-70.565711,-33.513827
Las Condes,INDUSTRIAL,1164.34,-70.607901,-33.518747
Las Condes,COMERCIAL,231.61,-70.53874,-33.400883
Las Condes,COMERCIAL,291.12,-70.525044,-33.554497
Las Condes,RESIDENCIAL,132.14,-70.571996,-33.556952
Las Condes,INDUSTRIAL,828.5,-70.547586,-33.52933
Las Condes,INDUSTRIAL,1019.72,-70.73947,-33.561652
Las Condes,RESIDENCIAL,185.33,-70.526711,-33.507658
Las Condes,RESIDENCIAL,82.87,-70.516128,-33.447121
